epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.77356,2.46169,3.75858,4.24484,0.00333,1,0.33881,0.06086,2.64382,3.92733,4.15902,0,0,0
2,8.56274,3.23584,3.36741,4.21097,0.00333,1,0.25628,0.0526,2.6436,3.9276,4.15914,1.9604e-05,1.9604e-05,1.9604e-05
3,10.1799,3.3693,3.57936,4.22142,0.00333,1,0.3825,0.06345,2.64343,3.92742,4.15922,3.8416e-05,3.8416e-05,3.8416e-05
4,11.9484,3.18963,4.23778,4.25152,0.00333,1,0.17303,0.04353,2.64332,3.92722,4.15928,5.6436e-05,5.6436e-05,5.6436e-05
5,13.5434,3.39601,3.84927,4.21934,0.00333,1,0.3544,0.05638,2.64325,3.92705,4.15934,7.3664e-05,7.3664e-05,7.3664e-05
6,15.121,3.19281,3.49594,4.19529,0.00333,1,0.3446,0.05761,2.6432,3.92715,4.15936,9.01e-05,9.01e-05,9.01e-05
7,16.6994,2.99388,3.60695,4.19319,0.00333,1,0.13779,0.04001,2.64319,3.92707,4.15935,0.000105744,0.000105744,0.000105744
8,18.388,3.30964,3.5451,4.19532,0.00333,1,0.13682,0.03792,2.64325,3.92699,4.1593,0.000120596,0.000120596,0.000120596
9,20.1964,2.86128,3.33745,4.14168,0.00333,1,0.38225,0.06498,2.64337,3.92705,4.1592,0.000134656,0.000134656,0.000134656
10,21.8248,3.07357,3.89625,4.22567,0.00333,1,0.13835,0.04381,2.64352,3.92712,4.1591,0.000147924,0.000147924,0.000147924
11,23.4191,3.37968,3.69017,4.18451,0.00333,1,0.13879,0.03997,2.64375,3.92744,4.15893,0.0001604,0.0001604,0.0001604
12,24.9693,3.2654,4.02313,4.15357,0.00333,1,0.13925,0.03915,2.64404,3.9274,4.15878,0.000172084,0.000172084,0.000172084
13,26.6183,3.06365,3.54685,4.08604,0.00333,1,0.1546,0.0537,2.6444,3.92724,4.15855,0.000182976,0.000182976,0.000182976
14,28.3893,2.87082,3.71804,4.13334,0.00333,1,0.18167,0.05175,2.6448,3.92734,4.15829,0.000193076,0.000193076,0.000193076
15,29.9954,3.02351,3.59611,4.15362,0.00333,1,0.1361,0.04505,2.64532,3.92699,4.15799,0.000202384,0.000202384,0.000202384
16,31.7234,3.3728,3.4296,4.15001,0.00333,1,0.13774,0.04072,2.64596,3.92712,4.15767,0.0002109,0.0002109,0.0002109
17,33.4282,2.98265,3.62338,4.12791,0.00333,1,0.13783,0.03776,2.64672,3.92696,4.15736,0.000218624,0.000218624,0.000218624
18,34.9661,3.36529,3.68899,4.12577,0.00333,1,0.15882,0.03972,2.64751,3.92716,4.15699,0.000225556,0.000225556,0.000225556
19,36.5921,3.74866,3.53656,4.14898,0.00333,1,0.18027,0.04305,2.64838,3.92707,4.15666,0.000231696,0.000231696,0.000231696
20,38.8182,3.08189,3.39323,4.14491,0.00333,1,0.10598,0.03709,2.64944,3.92732,4.15626,0.000237044,0.000237044,0.000237044
21,40.3593,2.98814,3.20267,4.15299,0.00333,1,0.1145,0.04819,2.65044,3.92762,4.15598,0.0002416,0.0002416,0.0002416
22,41.883,3.34038,3.31316,4.20008,0.00333,1,0.09668,0.03387,2.65142,3.92723,4.15546,0.000245364,0.000245364,0.000245364
23,44.2075,3.10278,3.46511,4.1462,0.00333,1,0.10418,0.04196,2.65228,3.92728,4.15478,0.000248336,0.000248336,0.000248336
24,51.7407,2.4341,3.59538,4.15605,0.00333,1,0.09348,0.03473,2.66057,3.91314,4.15345,0.000250516,0.000250516,0.000250516
25,60.2531,3.10286,3.39603,4.08451,0.00333,1,0.05954,0.02438,2.66187,3.91285,4.15237,0.000251904,0.000251904,0.000251904
26,68.7238,3.4306,3.72006,4.1999,0.00333,1,0.05257,0.02176,2.66302,3.91266,4.15127,0.0002525,0.0002525,0.0002525
27,77.1722,3.14435,3.45325,4.08769,0.00333,1,0.0418,0.02067,2.67137,3.89822,4.14931,0.000252304,0.000252304,0.000252304
28,85.386,2.86679,3.42359,4.09978,0.00333,1,0.0412,0.01905,2.66969,3.90031,4.14812,0.000251316,0.000251316,0.000251316
29,94.1428,3.18935,3.39515,4.11156,0.00333,1,0.04351,0.02112,2.6823,3.87429,4.14475,0.000249536,0.000249536,0.000249536
30,99.7331,2.61228,3.25788,4.06928,0.00333,1,0.04404,0.02189,2.68034,3.87661,4.14297,0.000246964,0.000246964,0.000246964
31,101.349,3.14283,3.60243,4.0764,0.00333,1,0.04025,0.02054,2.68542,3.86542,4.14021,0.0002436,0.0002436,0.0002436
32,102.95,3.00424,3.35735,3.98845,0.00333,1,0.03813,0.01675,2.69145,3.85144,4.13707,0.000239444,0.000239444,0.000239444
33,104.568,3.44277,3.51743,4.11602,0.00333,1,0.04812,0.0225,2.69047,3.84952,4.1352,0.000234496,0.000234496,0.000234496
34,106.173,3.00704,3.40725,4.11317,0.00333,1,0.06129,0.02475,2.68935,3.84757,4.13313,0.000228756,0.000228756,0.000228756
35,107.915,2.76018,3.14386,4.01142,0.00333,1,0.05163,0.02435,2.68865,3.84649,4.1311,0.000222224,0.000222224,0.000222224
36,109.468,3.4253,3.38828,4.03653,0.00333,1,0.05167,0.02341,2.69461,3.83292,4.12777,0.0002149,0.0002149,0.0002149
37,111.07,2.83122,3.45636,4.09381,0.00333,1,0.06539,0.02822,2.69352,3.83202,4.1257,0.000206784,0.000206784,0.000206784
38,112.781,3.49691,3.66658,4.07225,0.00333,1,0.05799,0.0253,2.6991,3.81895,4.12266,0.000197876,0.000197876,0.000197876
39,114.656,2.59371,3.2318,3.96644,0.00333,1,0.06637,0.02661,2.70472,3.80547,4.1191,0.000188176,0.000188176,0.000188176
40,116.26,2.79882,3.36279,4.00515,0.00333,1,0.05823,0.02674,2.70379,3.802,4.11571,0.000177684,0.000177684,0.000177684
41,117.838,2.37653,4.09048,3.92459,0.00333,1,0.07509,0.03025,2.68503,3.81039,4.11185,0.0001664,0.0001664,0.0001664
42,119.675,2.52494,4.11263,3.99638,0.00333,1,0.05419,0.02406,2.68444,3.80936,4.10991,0.000154324,0.000154324,0.000154324
43,121.708,2.60948,3.91362,3.89574,0.00333,1,0.06652,0.02693,2.68326,3.81034,4.10919,0.000141456,0.000141456,0.000141456
